t,l,R,eg
0.248000,0.942893,0.078589,0.474959
0.249000,0.942682,0.078903,0.474858
0.250000,0.942471,0.079217,0.474758
0.251000,0.942260,0.079532,0.474658
0.252000,0.942049,0.079846,0.474557
0.253000,0.941839,0.080160,0.474457
0.254000,0.941628,0.080474,0.474356
0.255000,0.941418,0.080789,0.474256
0.256000,0.941207,0.081103,0.474156
0.257000,0.940997,0.081417,0.474055
0.258000,0.940788,0.081731,0.473955
0.259000,0.940578,0.082045,0.473855
0.260000,0.940368,0.082359,0.473754
0.261000,0.940159,0.082673,0.473654
0.262000,0.939949,0.082987,0.473554
0.263000,0.939740,0.083301,0.473454
0.264000,0.939531,0.083615,0.473353
0.265000,0.939322,0.083929,0.473253
0.266000,0.939114,0.084243,0.473153
0.267000,0.938905,0.084557,0.473053
0.268000,0.938696,0.084871,0.472952
0.269000,0.938488,0.085185,0.472852
0.270000,0.938280,0.085498,0.472752
0.271000,0.938072,0.085812,0.472652
0.272000,0.937864,0.086126,0.472551
0.273000,0.937656,0.086439,0.472451
0.274000,0.937449,0.086753,0.472351
0.275000,0.937241,0.087067,0.472251
0.276000,0.937034,0.087380,0.472151
0.277000,0.936827,0.087694,0.472050
0.278000,0.936620,0.088007,0.471950
0.279000,0.936413,0.088321,0.471850
0.280000,0.936206,0.088634,0.471750
0.281000,0.936000,0.088947,0.471650
0.282000,0.935793,0.089261,0.471550
0.283000,0.935587,0.089574,0.471449
0.284000,0.935381,0.089887,0.471349
0.285000,0.935175,0.090201,0.471249
0.286000,0.934969,0.090514,0.471149
0.287000,0.934764,0.090827,0.471049
0.288000,0.934558,0.091140,0.470949
0.289000,0.934353,0.091453,0.470849
0.290000,0.934147,0.091766,0.470749
0.291000,0.933942,0.092079,0.470649
0.292000,0.933737,0.092392,0.470549
0.293000,0.933532,0.092705,0.470449
0.294000,0.933328,0.093018,0.470348
0.295000,0.933123,0.093331,0.470248
0.296000,0.932919,0.093644,0.470148
0.297000,0.932715,0.093957,0.470048
0.298000,0.932510,0.094270,0.469948
0.299000,0.932307,0.094583,0.469848
0.300000,0.932103,0.094895,0.469748
0.301000,0.931899,0.095208,0.469648
