t,eg
0.550000,0.392130
0.551000,0.391981
0.552000,0.391832
0.553000,0.391683
0.554000,0.391534
0.555000,0.391385
0.556000,0.391237
0.557000,0.391088
0.558000,0.390940
0.559000,0.390792
0.560000,0.390644
0.561000,0.390496
0.562000,0.390348
0.563000,0.390201
0.564000,0.390053
0.565000,0.389906
0.566000,0.389759
0.567000,0.389612
0.568000,0.389465
0.569000,0.389318
0.570000,0.389171
0.571000,0.389025
0.572000,0.388879
0.573000,0.388732
0.574000,0.388586
0.575000,0.388440
0.576000,0.388294
0.577000,0.388149
0.578000,0.388003
0.579000,0.387857
0.580000,0.387712
0.581000,0.387567
0.582000,0.387422
0.583000,0.387277
0.584000,0.387132
0.585000,0.386987
0.586000,0.386843
0.587000,0.386698
0.588000,0.386554
0.589000,0.386410
0.590000,0.386266
0.591000,0.386122
0.592000,0.385978
0.593000,0.385835
0.594000,0.385691
0.595000,0.385548
0.596000,0.385404
0.597000,0.385261
0.598000,0.385118
0.599000,0.384975
0.600000,0.384833
0.601000,0.384690
0.602000,0.384547
0.603000,0.384405
0.604000,0.384263
0.605000,0.384121
0.606000,0.383979
0.607000,0.383837
0.608000,0.383695
0.609000,0.383553
0.610000,0.383412
0.611000,0.383271
0.612000,0.383129
0.613000,0.382988
0.614000,0.382847
0.615000,0.382706
0.616000,0.382566
0.617000,0.382425
0.618000,0.382284
0.619000,0.382144
0.620000,0.382004
0.621000,0.381864
0.622000,0.381724
0.623000,0.381584
0.624000,0.381444
0.625000,0.381304
0.626000,0.381165
0.627000,0.381026
0.628000,0.380886
0.629000,0.380747
0.630000,0.380608
0.631000,0.380469
0.632000,0.380331
0.633000,0.380192
0.634000,0.380053
0.635000,0.379915
0.636000,0.379777
0.637000,0.379639
0.638000,0.379501
0.639000,0.379363
0.640000,0.379225
0.641000,0.379087
0.642000,0.378950
0.643000,0.378812
0.644000,0.378675
0.645000,0.378538
0.646000,0.378401
0.647000,0.378264
0.648000,0.378127
0.649000,0.377990
0.650000,0.377854
0.651000,0.377717
0.652000,0.377581
0.653000,0.377445
0.654000,0.377309
0.655000,0.377173
0.656000,0.377037
0.657000,0.376901
0.658000,0.376765
0.659000,0.376630
0.660000,0.376494
0.661000,0.376359
0.662000,0.376224
0.663000,0.376089
0.664000,0.375954
0.665000,0.375819
0.666000,0.375685
0.667000,0.375550
0.668000,0.375416
0.669000,0.375281
0.670000,0.375147
0.671000,0.375013
0.672000,0.374879
0.673000,0.374745
0.674000,0.374611
0.675000,0.374478
0.676000,0.374344
0.677000,0.374211
0.678000,0.374078
0.679000,0.373944
0.680000,0.373811
0.681000,0.373678
0.682000,0.373546
0.683000,0.373413
0.684000,0.373280
0.685000,0.373148
0.686000,0.373016
0.687000,0.372883
0.688000,0.372751
0.689000,0.372619
0.690000,0.372487
0.691000,0.372355
0.692000,0.372224
0.693000,0.372092
0.694000,0.371961
0.695000,0.371829
0.696000,0.371698
0.697000,0.371567
0.698000,0.371436
0.699000,0.371305
0.700000,0.371175
0.701000,0.371044
0.702000,0.370913
0.703000,0.370783
0.704000,0.370653
0.705000,0.370522
0.706000,0.370392
0.707000,0.370262
0.708000,0.370133
0.709000,0.370003
0.710000,0.369873
0.711000,0.369744
0.712000,0.369614
0.713000,0.369485
0.714000,0.369356
0.715000,0.369227
0.716000,0.369098
0.717000,0.368969
0.718000,0.368840
0.719000,0.368711
0.720000,0.368583
0.721000,0.368454
0.722000,0.368326
0.723000,0.368198
0.724000,0.368070
0.725000,0.367942
0.726000,0.367814
0.727000,0.367686
0.728000,0.367559
0.729000,0.367431
0.730000,0.367304
0.731000,0.367176
0.732000,0.367049
0.733000,0.366922
0.734000,0.366795
0.735000,0.366668
0.736000,0.366541
0.737000,0.366415
0.738000,0.366288
0.739000,0.366162
0.740000,0.366035
0.741000,0.365909
0.742000,0.365783
0.743000,0.365657
0.744000,0.365531
0.745000,0.365405
0.746000,0.365280
0.747000,0.365154
0.748000,0.365028
0.749000,0.364903
0.750000,0.364778
0.751000,0.364653
0.752000,0.364528
0.753000,0.364403
0.754000,0.364278
0.755000,0.364153
0.756000,0.364028
0.757000,0.363904
0.758000,0.363779
0.759000,0.363655
0.760000,0.363531
0.761000,0.363407
0.762000,0.363283
0.763000,0.363159
0.764000,0.363035
0.765000,0.362911
0.766000,0.362788
0.767000,0.362664
0.768000,0.362541
0.769000,0.362418
0.770000,0.362294
0.771000,0.362171
0.772000,0.362048
0.773000,0.361926
0.774000,0.361803
0.775000,0.361680
0.776000,0.361558
0.777000,0.361435
0.778000,0.361313
0.779000,0.361191
0.780000,0.361068
0.781000,0.360946
0.782000,0.360824
0.783000,0.360703
0.784000,0.360581
0.785000,0.360459
0.786000,0.360338
0.787000,0.360216
0.788000,0.360095
0.789000,0.359974
0.790000,0.359853
0.791000,0.359732
0.792000,0.359611
0.793000,0.359490
0.794000,0.359369
0.795000,0.359249
0.796000,0.359128
0.797000,0.359008
0.798000,0.358887
0.799000,0.358767
0.800000,0.358647
0.801000,0.358527
0.802000,0.358407
0.803000,0.358287
0.804000,0.358168
0.805000,0.358048
0.806000,0.357928
0.807000,0.357809
0.808000,0.357690
0.809000,0.357571
0.810000,0.357451
0.811000,0.357332
0.812000,0.357213
0.813000,0.357095
0.814000,0.356976
0.815000,0.356857
0.816000,0.356739
0.817000,0.356620
0.818000,0.356502
0.819000,0.356384
0.820000,0.356266
0.821000,0.356148
0.822000,0.356030
0.823000,0.355912
0.824000,0.355794
0.825000,0.355677
0.826000,0.355559
0.827000,0.355442
0.828000,0.355324
0.829000,0.355207
0.830000,0.355090
0.831000,0.354973
0.832000,0.354856
0.833000,0.354739
0.834000,0.354622
0.835000,0.354506
0.836000,0.354389
