t,l,R,eg
0.577000,0.934432,0.218746,0.429803
0.578000,0.934350,0.219099,0.429688
0.579000,0.934269,0.219451,0.429573
0.580000,0.934187,0.219803,0.429458
0.581000,0.934106,0.220156,0.429343
0.582000,0.934025,0.220508,0.429229
0.583000,0.933944,0.220860,0.429114
0.584000,0.933863,0.221211,0.428999
0.585000,0.933782,0.221563,0.428884
0.586000,0.933701,0.221915,0.428769
0.587000,0.933620,0.222266,0.428655
0.588000,0.933540,0.222617,0.428540
0.589000,0.933459,0.222969,0.428425
0.590000,0.933379,0.223320,0.428311
0.591000,0.933299,0.223671,0.428196
0.592000,0.933218,0.224022,0.428081
0.593000,0.933138,0.224372,0.427967
0.594000,0.933058,0.224723,0.427852
0.595000,0.932978,0.225074,0.427738
0.596000,0.932899,0.225424,0.427623
0.597000,0.932819,0.225774,0.427509
0.598000,0.932739,0.226125,0.427394
0.599000,0.932660,0.226475,0.427280
0.600000,0.932580,0.226825,0.427166
0.601000,0.932501,0.227175,0.427051
0.602000,0.932422,0.227524,0.426937
0.603000,0.932343,0.227874,0.426823
0.604000,0.932264,0.228223,0.426708
0.605000,0.932185,0.228573,0.426594
0.606000,0.932106,0.228922,0.426480
0.607000,0.932027,0.229271,0.426366
0.608000,0.931948,0.229620,0.426252
0.609000,0.931870,0.229969,0.426137
0.610000,0.931791,0.230318,0.426023
0.611000,0.931713,0.230667,0.425909
0.612000,0.931635,0.231016,0.425795
0.613000,0.931557,0.231364,0.425681
0.614000,0.931479,0.231712,0.425567
0.615000,0.931401,0.232061,0.425453
0.616000,0.931323,0.232409,0.425339
0.617000,0.931245,0.232757,0.425225
0.618000,0.931167,0.233105,0.425111
0.619000,0.931090,0.233453,0.424998
0.620000,0.931012,0.233800,0.424884
0.621000,0.930935,0.234148,0.424770
0.622000,0.930858,0.234495,0.424656
0.623000,0.930780,0.234843,0.424542
0.624000,0.930703,0.235190,0.424429
0.625000,0.930626,0.235537,0.424315
0.626000,0.930549,0.235884,0.424201
0.627000,0.930473,0.236231,0.424088
0.628000,0.930396,0.236578,0.423974
0.629000,0.930319,0.236924,0.423861
0.630000,0.930243,0.237271,0.423747
0.631000,0.930166,0.237617,0.423634
0.632000,0.930090,0.237964,0.423520
0.633000,0.930014,0.238310,0.423407
0.634000,0.929938,0.238656,0.423293
0.635000,0.929862,0.239002,0.423180
0.636000,0.929786,0.239348,0.423066
0.637000,0.929710,0.239693,0.422953
0.638000,0.929634,0.240039,0.422840
0.639000,0.929558,0.240385,0.422726
0.640000,0.929483,0.240730,0.422613
0.641000,0.929407,0.241075,0.422500
0.642000,0.929332,0.241420,0.422387
0.643000,0.929257,0.241765,0.422274
0.644000,0.929182,0.242110,0.422160
0.645000,0.929106,0.242455,0.422047
0.646000,0.929031,0.242800,0.421934
0.647000,0.928957,0.243144,0.421821
0.648000,0.928882,0.243489,0.421708
0.649000,0.928807,0.243833,0.421595
0.650000,0.928732,0.244177,0.421482
0.651000,0.928658,0.244521,0.421369
0.652000,0.928584,0.244865,0.421256
0.653000,0.928509,0.245209,0.421143
0.654000,0.928435,0.245553,0.421031
0.655000,0.928361,0.245896,0.420918
0.656000,0.928287,0.246240,0.420805
0.657000,0.928213,0.246583,0.420692
0.658000,0.928139,0.246927,0.420579
0.659000,0.928065,0.247270,0.420467
0.660000,0.927992,0.247613,0.420354
0.661000,0.927918,0.247956,0.420241
0.662000,0.927845,0.248299,0.420129
0.663000,0.927771,0.248641,0.420016
0.664000,0.927698,0.248984,0.419903
0.665000,0.927625,0.249326,0.419791
0.666000,0.927552,0.249669,0.419678
0.667000,0.927479,0.250011,0.419566
0.668000,0.927406,0.250353,0.419453
0.669000,0.927333,0.250695,0.419341
0.670000,0.927260,0.251037,0.419229
0.671000,0.927187,0.251378,0.419116
0.672000,0.927115,0.251720,0.419004
0.673000,0.927042,0.252061,0.418891
0.674000,0.926970,0.252403,0.418779
0.675000,0.926898,0.252744,0.418667
0.676000,0.926826,0.253085,0.418555
0.677000,0.926754,0.253426,0.418442
0.678000,0.926682,0.253767,0.418330
0.679000,0.926610,0.254108,0.418218
0.680000,0.926538,0.254449,0.418106
0.681000,0.926466,0.254789,0.417994
0.682000,0.926395,0.255129,0.417882
0.683000,0.926323,0.255470,0.417770
0.684000,0.926252,0.255810,0.417658
0.685000,0.926180,0.256150,0.417546
0.686000,0.926109,0.256490,0.417434
0.687000,0.926038,0.256830,0.417322
0.688000,0.925967,0.257169,0.417210
0.689000,0.925896,0.257509,0.417098
0.690000,0.925825,0.257849,0.416986
0.691000,0.925754,0.258188,0.416875
0.692000,0.925684,0.258527,0.416763
0.693000,0.925613,0.258866,0.416651
0.694000,0.925543,0.259205,0.416539
0.695000,0.925472,0.259544,0.416428
0.696000,0.925402,0.259883,0.416316
0.697000,0.925332,0.260221,0.416204
