min,-5.120000,max,5.120000,populationsize,250,children,40
gen,best,worst,alpha,,var_x[0],var_x[1],var_x[2],var_x[3],var_x[4],var_x[5],var_x[6],var_x[7],var_x[8],var_x[9],,best_x[0],best_x[1],best_x[2],best_x[3],best_x[4],best_x[5],best_x[6],best_x[7],best_x[8],best_x[9],,distance
45,71.311921,476.638612,1.013632,,3.118358,3.146126,3.363429,3.047617,2.643793,3.668912,3.520659,3.489877,3.249141,3.841217,,-1.328193,-0.937693,-1.835497,-1.130969,-0.129420,0.091990,-1.206183,0.465664,-0.102448,0.208233,,1.811027
46,62.233984,476.638612,1.012535,,3.027242,3.140846,3.402186,2.975233,2.594254,3.655500,3.481462,3.426058,3.286357,3.722685,,-0.038978,-0.247021,-1.691133,-1.009552,-2.053748,-1.133861,-0.952416,-0.223663,-1.277845,-0.921120,,1.783412
47,62.233984,476.638612,1.010884,,3.017150,3.121269,3.356069,2.960875,2.591014,3.591188,3.422986,3.378275,3.182556,3.679193,,-0.038978,-0.247021,-1.691133,-1.009552,-2.053748,-1.133861,-0.952416,-0.223663,-1.277845,-0.921120,,1.775887
48,71.311921,476.638612,1.006601,,3.018643,3.066300,3.315537,2.955112,2.589606,3.498899,3.416232,3.362233,3.107105,3.637912,,-1.328193,-0.937693,-1.835497,-1.130969,-0.129420,0.091990,-1.206183,0.465664,-0.102448,0.208233,,1.770628
49,71.311921,476.638612,1.000524,,3.009561,2.979327,3.265839,2.887831,2.543841,3.370521,3.319314,3.358712,3.051996,3.562147,,-1.328193,-0.937693,-1.835497,-1.130969,-0.129420,0.091990,-1.206183,0.465664,-0.102448,0.208233,,1.791825
50,71.311921,476.638612,1.002063,,2.851667,2.786209,3.231509,2.871008,2.511956,3.318030,3.254632,3.191376,3.004493,3.528280,,-1.328193,-0.937693,-1.835497,-1.130969,-0.129420,0.091990,-1.206183,0.465664,-0.102448,0.208233,,1.828004
51,71.311921,476.638612,1.000000,,2.825936,2.748158,3.137427,2.774041,2.468009,3.270227,3.074522,3.098405,2.947570,3.500148,,-1.328193,-0.937693,-1.835497,-1.130969,-0.129420,0.091990,-1.206183,0.465664,-0.102448,0.208233,,1.854129
52,75.264508,476.638612,1.000000,,2.777949,2.621804,3.059649,2.763370,2.369751,3.260645,3.035618,3.039200,2.949565,3.403453,,-1.037316,-0.739573,-0.107666,-2.494205,-0.971725,-0.954658,-1.706039,-1.904951,0.096613,-2.025505,,1.846804
53,75.264508,476.638612,1.004488,,2.771263,2.571502,3.059320,2.680431,2.368022,3.246443,3.041460,3.005080,2.925852,3.394821,,-1.037316,-0.739573,-0.107666,-2.494205,-0.971725,-0.954658,-1.706039,-1.904951,0.096613,-2.025505,,1.856985
54,75.264508,476.638612,1.000000,,2.797765,2.575312,3.015518,2.593860,2.316768,3.118760,3.018197,2.851680,2.849022,3.317003,,-1.037316,-0.739573,-0.107666,-2.494205,-0.971725,-0.954658,-1.706039,-1.904951,0.096613,-2.025505,,1.838964
55,75.264508,476.638612,1.002302,,2.682808,2.543283,2.918094,2.571604,2.249235,3.006002,3.010238,2.748056,2.791878,3.231966,,-1.037316,-0.739573,-0.107666,-2.494205,-0.971725,-0.954658,-1.706039,-1.904951,0.096613,-2.025505,,1.860128
56,74.391302,476.638612,1.000000,,2.683158,2.530612,2.780025,2.547671,2.224074,2.982607,2.971716,2.711516,2.760726,3.203332,,0.903788,-0.188001,-0.014581,-2.881039,-0.915040,-2.019112,-0.745388,-1.370901,0.028971,-1.791965,,1.860843
57,77.082319,476.638612,1.000000,,2.687036,2.499173,2.735123,2.521535,2.114841,2.878198,2.952041,2.607671,2.705125,3.063143,,-0.279570,1.546394,0.514033,-0.164467,0.911288,-1.147129,-1.230573,0.477685,0.660786,-0.827416,,1.864592
58,68.267226,476.638612,1.001202,,2.593194,2.403815,2.708273,2.439285,2.035444,2.817101,2.856410,2.570973,2.747058,2.939252,,-2.340947,-1.032290,-2.032412,-0.057761,-0.723478,-3.032240,-0.957518,-2.012792,0.404493,0.403240,,1.901082
59,68.267226,476.638612,1.000000,,2.534530,2.337814,2.678061,2.384903,1.995182,2.657659,2.860509,2.531592,2.640124,2.904743,,-2.340947,-1.032290,-2.032412,-0.057761,-0.723478,-3.032240,-0.957518,-2.012792,0.404493,0.403240,,1.896246
60,68.267226,476.638612,1.000310,,2.489720,2.310102,2.694826,2.335952,1.967247,2.650936,2.838747,2.502173,2.593927,2.891779,,-2.340947,-1.032290,-2.032412,-0.057761,-0.723478,-3.032240,-0.957518,-2.012792,0.404493,0.403240,,1.883168
61,66.780059,452.179097,1.001465,,2.379650,2.252016,2.569138,2.274799,1.855907,2.456142,2.603893,2.400243,2.548072,2.868622,,-0.071645,0.444300,-3.091637,0.542653,-0.114482,0.139072,1.434983,-0.722525,-0.974516,-0.246294,,1.935200
62,61.107046,452.179097,1.000000,,2.351677,2.239492,2.437804,2.261894,1.817020,2.444496,2.534789,2.398332,2.528279,2.865886,,-0.603156,-0.914607,-0.036818,-0.966827,-1.159265,0.512000,-0.614712,-0.042190,-0.021146,-2.822226,,1.948822
63,61.107046,452.179097,1.000000,,2.257956,2.166953,2.389096,2.146273,1.707551,2.331360,2.389397,2.202826,2.474437,2.641830,,-0.603156,-0.914607,-0.036818,-0.966827,-1.159265,0.512000,-0.614712,-0.042190,-0.021146,-2.822226,,1.990952
64,65.326957,452.179097,1.000000,,2.253625,2.163543,2.301617,2.142143,1.699648,2.326107,2.346507,2.190638,2.482129,2.621793,,-1.245442,-0.286085,-1.900848,-2.014879,-0.252450,-1.155088,-1.848526,0.995401,-0.891103,-0.942252,,1.968999
65,68.267226,452.179097,1.000000,,2.239124,2.157394,2.301392,2.131946,1.699953,2.314968,2.299218,2.123039,2.410424,2.595877,,-2.340947,-1.032290,-2.032412,-0.057761,-0.723478,-3.032240,-0.957518,-2.012792,0.404493,0.403240,,1.964836
66,68.267226,452.179097,1.002310,,2.180872,2.195330,2.303915,2.058238,1.673098,2.189697,2.292735,2.182144,2.311301,2.496319,,-2.340947,-1.032290,-2.032412,-0.057761,-0.723478,-3.032240,-0.957518,-2.012792,0.404493,0.403240,,1.994032
67,76.640565,452.179097,1.000968,,2.181403,2.131114,2.299103,2.004711,1.617959,2.169026,2.300014,2.161098,2.288855,2.502949,,-0.100265,-0.201080,-1.741992,-0.530605,-0.441843,-0.256828,-0.998506,-0.000760,-1.021350,0.049315,,1.973991
