generation,alpha,evaluation_count,population_size
316,1.2016255514373666,31284,120
317,1.2024781963211932,31383,120
318,1.2019096712911961,31482,120
319,1.2011423439342328,31581,120
320,1.2020460454277093,31680,120
321,1.2010861355886457,31779,120
322,1.2008172850267886,31878,120
323,1.2004620969219011,31977,120
324,1.2004017476218563,32076,120
325,1.201252137344522,32175,120
326,1.2016489135863724,32274,120
327,1.2022513693979495,32373,120
328,1.201971439031756,32472,120
329,1.2027510070743084,32571,120
330,1.2022160853564854,32670,120
331,1.202291221059645,32769,120
332,1.2032516993678986,32868,120
333,1.2040977923443001,32967,120
334,1.2044073507525208,33066,120
335,1.2054984471995094,33165,120
336,1.2062727713998638,33264,120
337,1.2058375095549261,33363,120
338,1.205581666979803,33462,120
339,1.2052355488583093,33561,120
340,1.2048174547503145,33660,120
341,1.2044374236108795,33759,120
342,1.2052951067434472,33858,120
343,1.2054087845539829,33957,120
344,1.205321459463923,34056,120
345,1.2052737504004656,34155,120
346,1.204801897885849,34254,120
347,1.2048832029872771,34353,120
348,1.2047605380042987,34452,120
349,1.2046850245478746,34551,120
350,1.2044814131160337,34650,120
351,1.2047138159497435,34749,120
352,1.2041249547652946,34848,120
353,1.2044393135194822,34947,120
354,1.2050302404896132,35046,120
355,1.2050059552674861,35145,120
356,1.204160372121331,35244,120
357,1.2042119636099153,35343,120
358,1.2059185244251354,35442,120
359,1.2058298340976981,35541,120
360,1.2057529755692158,35640,120
361,1.2062928329312319,35739,120
362,1.2060781974666424,35838,120
363,1.2055817071606758,35937,120
364,1.2056914843883304,36036,120
365,1.2051996562844589,36135,120
366,1.2043776087959068,36234,120
367,1.2044386834629235,36333,120
368,1.2040736370090479,36432,120
369,1.2039709319080629,36531,120
370,1.203415295547025,36630,120
371,1.2030832469184138,36729,120
372,1.2035235924850931,36828,120
373,1.2038791852386814,36927,120
374,1.2034202405388186,37026,120
375,1.2028907017742214,37125,120
376,1.2029362385679108,37224,120
377,1.20287000885464,37323,120
378,1.2023306896003432,37422,120
379,1.2016701074833915,37521,120
380,1.2017522729321901,37620,120
381,1.2020161085447105,37719,120
382,1.201865243967275,37818,120
383,1.2020854046578726,37917,120
384,1.202717448100993,38016,120
385,1.2020423748729969,38115,120
386,1.2017243087733245,38214,120
387,1.2019422224879228,38313,120
388,1.201897671751879,38412,120
389,1.2019598802259255,38511,120
390,1.2015269805452953,38610,120
391,1.2024296658647602,38709,120
392,1.2027993807517685,38808,120
393,1.2021982749998683,38907,120
394,1.2023696155593988,39006,120
395,1.2022671509317386,39105,120
396,1.2017293174357087,39204,120
397,1.2017515941491257,39303,120
398,1.201336120893125,39402,120
399,1.2019460693534507,39501,120
400,1.201552403894905,39600,120
401,1.2011909321253813,39699,120
402,1.2006821380882,39798,120
403,1.2002110717828038,39897,120
404,1.2007936803085995,39996,120
405,1.2007090857828295,40095,120
406,1.2000833426080557,40194,120
407,1.1995293411866126,40293,120
408,1.2002446550019468,40392,120
409,1.1996500624892878,40491,120
410,1.1987303504852911,40590,120
411,1.1984264883644269,40689,120
412,1.198080886399632,40788,120
413,1.1977535048217829,40887,120
414,1.1976404469005582,40986,120
415,1.1971287396087797,41085,120
416,1.1966391644430314,41184,120
417,1.1963460805098451,41283,120
418,1.19651588471349,41382,120
419,1.1959868099127415,41481,120
420,1.19630303934812,41580,120
421,1.1956280586342352,41679,120
422,1.1960820263865664,41778,120
423,1.1967530427942188,41877,120
424,1.1968651118918181,41976,120
425,1.1972774948718237,42075,120
426,1.1969062099881025,42174,120
427,1.1965075009809811,42273,120
428,1.1961792035114287,42372,120
429,1.1964387781091812,42471,120
430,1.1963053135304513,42570,120
431,1.196143803264244,42669,120
432,1.1952200575556047,42768,120
433,1.1955238874844802,42867,120
434,1.1950568305808895,42966,120
435,1.1945967279635517,43065,120
436,1.1939350171931826,43164,120
437,1.1936506523948682,43263,120
438,1.1929183903778569,43362,120
439,1.192787220281823,43461,120
440,1.1926053601752085,43560,120
441,1.1930138721842605,43659,120
442,1.1924853553936643,43758,120
443,1.192249446295824,43857,120
444,1.191724403050312,43956,120
445,1.1915262844887931,44055,120
446,1.1923894339060024,44154,120
447,1.1924375341626718,44253,120
448,1.1920289487000422,44352,120
449,1.1921232187113757,44451,120
450,1.1928445348843044,44550,120
451,1.1925801747756197,44649,120
452,1.1923575263685751,44748,120
453,1.1927150258628663,44847,120
454,1.1926449634228331,44946,120
455,1.1922641952248922,45045,120
456,1.1924394916339482,45144,120
457,1.1917465344954268,45243,120
458,1.1915582743222042,45342,120
459,1.191946590621916,45441,120
460,1.1916759906867207,45540,120
461,1.1920907820608178,45639,120
462,1.191367873042769,45738,120
463,1.1912744647486819,45837,120
464,1.1920921392979034,45936,120
465,1.1921092388251211,46035,120
466,1.1931897917358112,46134,120
467,1.1931534445877243,46233,120
468,1.1928445155853682,46332,120
469,1.1927184385059642,46431,120
470,1.1920785106073006,46530,120
471,1.1923414941543256,46629,120
472,1.1919390298731034,46728,120
473,1.1923536097417939,46827,120
474,1.1919081538510263,46926,120
475,1.1912772631572233,47025,120
476,1.1912603208464949,47124,120
477,1.1911802611287254,47223,120
478,1.1909231320861413,47322,120
479,1.1915059362218703,47421,120
480,1.1908240346234529,47520,120
481,1.1906655230727905,47619,120
482,1.1907210749868173,47718,120
483,1.1905384254207725,47817,120
484,1.1902438644227846,47916,120
485,1.1899104622947827,48015,120
486,1.1902049422901093,48114,120
487,1.1907396568504909,48213,120
488,1.1901073394030828,48312,120
489,1.1897107294204141,48411,120
490,1.1893776583681805,48510,120
491,1.1889810070169955,48609,120
492,1.1884825480808243,48708,120
493,1.1888191090201623,48807,120
494,1.1891051073579688,48906,120
495,1.1895039380846095,49005,120
496,1.1891148047057429,49104,120
497,1.1892898308788578,49203,120
498,1.1890865419083945,49302,120
499,1.1895076011192778,49401,120
500,1.1891446102749186,49500,120
501,1.1889035801905794,49599,120
502,1.1894244674189554,49698,120
503,1.1897854872467093,49797,120
504,1.1905254137229602,49896,120
505,1.1904734990663264,49995,120
506,1.190530589915697,50094,120
507,1.190418225931444,50193,120
508,1.1899288372632248,50292,120
509,1.1898161802380176,50391,120
510,1.1901479857415933,50490,120
511,1.1906459865988064,50589,120
512,1.1899341798017449,50688,120
513,1.1905092891808866,50787,120
514,1.1903069683002943,50886,120
515,1.1903671998554597,50985,120
516,1.1902717097247026,51084,120
517,1.1902600040743581,51183,120
518,1.1899714732791429,51282,120
519,1.1895516104444703,51381,120
520,1.1893415233998506,51480,120
