generation,alpha,evaluation_count,population_size
277,2.4116122528067789,26315,120
278,2.4155698100671779,26410,120
279,2.4263149596009579,26505,120
280,2.4289533017752225,26600,120
281,2.4390817550206063,26695,120
282,2.4409518638255343,26790,120
283,2.4443960773057518,26885,120
284,2.452195751968925,26980,120
285,2.4603781865394043,27075,120
286,2.4671287219919207,27170,120
287,2.4704212431079307,27265,120
288,2.4753320949743292,27360,120
289,2.4760607773535233,27455,120
290,2.4812316909127823,27550,120
291,2.4893543136603875,27645,120
292,2.4898011284477835,27740,120
293,2.5000485030249116,27835,120
294,2.5148476094972914,27930,120
295,2.5245572846445357,28025,120
296,2.5296562196756467,28120,120
297,2.5364745445004355,28215,120
298,2.545398743020665,28310,120
299,2.5506554393203933,28405,120
300,2.5567064679605349,28500,120
301,2.5551557527760518,28595,120
302,2.5642583498650633,28690,120
303,2.5705519446605654,28785,120
304,2.573341781568625,28880,120
305,2.5756870423068126,28975,120
306,2.5762884111459941,29070,120
307,2.5740204379101703,29165,120
308,2.5792577007424828,29260,120
309,2.5902235551803701,29355,120
310,2.5968502512738629,29450,120
311,2.5973241994879408,29545,120
312,2.5966863988007134,29640,120
313,2.5968729112914586,29735,120
314,2.6015917176487489,29830,120
315,2.5991398942686015,29925,120
316,2.6009496152276608,30020,120
317,2.6000121760142014,30115,120
318,2.6070718314680614,30210,120
319,2.6077362705961455,30305,120
320,2.6038319091483908,30400,120
321,2.6081756489398478,30495,120
322,2.6123651136518009,30590,120
323,2.6152906819521244,30685,120
324,2.6226905178181426,30780,120
325,2.6214440876952136,30875,120
326,2.6231386800354293,30970,120
327,2.6254053478610206,31065,120
328,2.6282449188195542,31160,120
329,2.6315095531794128,31255,120
330,2.6368966003037193,31350,120
331,2.6423871041935416,31445,120
332,2.6503813379589496,31540,120
333,2.6505209242282568,31635,120
334,2.6550804293296979,31730,120
335,2.6633105287871701,31825,120
336,2.6625435433782934,31920,120
337,2.6675969470621199,32015,120
338,2.6671843092968524,32110,120
339,2.6700016893231093,32205,120
340,2.6754566033003808,32300,120
341,2.6766571046302192,32395,120
342,2.6807127774160615,32490,120
343,2.6819832867185913,32585,120
344,2.6889869500105541,32680,120
345,2.6904259890041993,32775,120
346,2.6902986397419606,32870,120
347,2.6923811061286673,32965,120
348,2.6906350819191145,33060,120
349,2.6960627174956335,33155,120
350,2.6948023945478337,33250,120
351,2.7014978018042819,33345,120
352,2.7073709319246206,33440,120
353,2.7209098291612679,33535,120
354,2.7202257137723573,33630,120
355,2.7228093450290052,33725,120
356,2.7290117831737697,33820,120
357,2.7346848954093712,33915,120
358,2.7397217441444428,34010,120
359,2.7385967891613925,34105,120
360,2.7429417210235947,34200,120
361,2.7438400712390116,34295,120
362,2.7523949881869658,34390,120
363,2.7573043751183923,34485,120
364,2.7625932198760004,34580,120
365,2.760623192241467,34675,120
366,2.766056974864155,34770,120
367,2.7731494533250642,34865,120
368,2.7746795629662118,34960,120
369,2.7770076589188757,35055,120
370,2.7750289821545469,35150,120
371,2.7808289858824216,35245,120
372,2.7864281895956844,35340,120
373,2.7895064663373215,35435,120
374,2.7898146380006588,35530,120
375,2.7952815478908026,35625,120
376,2.8067430457156419,35720,120
377,2.8072803689931254,35815,120
378,2.8155769194243274,35910,120
379,2.8254277924787443,36005,120
