min,-5.120000,max,5.120000,populationsize,500,children,80
gen,best,worst,alpha,,var_x[0],var_x[1],var_x[2],var_x[3],var_x[4],var_x[5],var_x[6],var_x[7],var_x[8],var_x[9],var_x[10],var_x[11],var_x[12],var_x[13],var_x[14],var_x[15],var_x[16],var_x[17],var_x[18],var_x[19],,best_x[0],best_x[1],best_x[2],best_x[3],best_x[4],best_x[5],best_x[6],best_x[7],best_x[8],best_x[9],best_x[10],best_x[11],best_x[12],best_x[13],best_x[14],best_x[15],best_x[16],best_x[17],best_x[18],best_x[19],,distance
23,223.495061,837.587866,1.003221,,5.385779,5.922457,5.152852,5.398843,5.440970,5.570495,5.580395,6.250205,5.474150,5.450006,5.678778,6.113592,5.339368,5.334418,5.203320,5.934191,5.248563,5.726509,5.969104,6.128698,,-0.875218,2.327154,3.436611,-0.165591,-1.955637,-3.798138,-2.812915,2.757322,-1.327051,-2.772118,-4.155335,0.064682,-2.291649,-0.172616,-0.869103,3.032165,0.023173,1.457064,0.229653,4.867549,,3.325684
24,223.495061,837.587866,1.007210,,5.391286,5.927240,5.137812,5.453675,5.457593,5.563640,5.649494,6.226297,5.477084,5.307783,5.663565,6.130524,5.264897,5.262186,5.114881,5.886708,5.133000,5.683196,5.962982,6.066484,,-0.875218,2.327154,3.436611,-0.165591,-1.955637,-3.798138,-2.812915,2.757322,-1.327051,-2.772118,-4.155335,0.064682,-2.291649,-0.172616,-0.869103,3.032165,0.023173,1.457064,0.229653,4.867549,,3.428121
25,223.495061,837.587866,1.005767,,5.445311,5.856704,5.052744,5.406364,5.414125,5.499988,5.606077,6.109573,5.413426,5.174327,5.583362,6.062468,5.233397,5.185521,5.020530,5.882397,5.094623,5.612277,5.776140,6.001736,,-0.875218,2.327154,3.436611,-0.165591,-1.955637,-3.798138,-2.812915,2.757322,-1.327051,-2.772118,-4.155335,0.064682,-2.291649,-0.172616,-0.869103,3.032165,0.023173,1.457064,0.229653,4.867549,,3.505996
26,223.495061,837.587866,1.006725,,5.231097,5.769511,4.996553,5.338698,5.477121,5.418407,5.480595,6.046347,5.275139,5.120176,5.410113,6.008512,5.135996,5.124302,4.937817,5.812361,4.862469,5.590774,5.615981,5.926429,,-0.875218,2.327154,3.436611,-0.165591,-1.955637,-3.798138,-2.812915,2.757322,-1.327051,-2.772118,-4.155335,0.064682,-2.291649,-0.172616,-0.869103,3.032165,0.023173,1.457064,0.229653,4.867549,,3.613623
27,223.495061,837.587866,1.006629,,5.179281,5.644506,4.951055,5.158829,5.385595,5.472712,5.500518,5.892629,5.132780,5.063897,5.287971,5.877440,5.050691,5.025892,4.837212,5.751655,4.786323,5.516446,5.521410,5.869712,,-0.875218,2.327154,3.436611,-0.165591,-1.955637,-3.798138,-2.812915,2.757322,-1.327051,-2.772118,-4.155335,0.064682,-2.291649,-0.172616,-0.869103,3.032165,0.023173,1.457064,0.229653,4.867549,,3.744399
28,223.495061,837.587866,1.004848,,5.132458,5.586713,4.830145,5.094149,5.238213,5.430270,5.367855,5.567680,5.018667,4.926403,5.239347,5.799494,4.998057,4.937351,4.857008,5.663593,4.632021,5.348109,5.354448,5.900710,,-0.875218,2.327154,3.436611,-0.165591,-1.955637,-3.798138,-2.812915,2.757322,-1.327051,-2.772118,-4.155335,0.064682,-2.291649,-0.172616,-0.869103,3.032165,0.023173,1.457064,0.229653,4.867549,,3.819243
29,223.495061,837.587866,1.003589,,5.006603,5.519573,4.801566,4.982288,5.060561,5.325193,5.309900,5.482288,4.917166,4.875565,5.151414,5.681910,4.926405,4.826353,4.768352,5.571085,4.626128,5.185696,5.348247,5.799404,,-0.875218,2.327154,3.436611,-0.165591,-1.955637,-3.798138,-2.812915,2.757322,-1.327051,-2.772118,-4.155335,0.064682,-2.291649,-0.172616,-0.869103,3.032165,0.023173,1.457064,0.229653,4.867549,,3.928892
30,223.495061,837.587866,1.002775,,4.933982,5.446780,4.753110,4.970674,5.057050,5.236502,5.244223,5.384747,4.915563,4.755390,5.059043,5.668628,4.899395,4.762505,4.641867,5.401437,4.616695,5.127246,5.215314,5.694940,,-0.875218,2.327154,3.436611,-0.165591,-1.955637,-3.798138,-2.812915,2.757322,-1.327051,-2.772118,-4.155335,0.064682,-2.291649,-0.172616,-0.869103,3.032165,0.023173,1.457064,0.229653,4.867549,,3.997300
31,223.495061,837.587866,1.001386,,4.902183,5.421411,4.650022,4.913441,4.845478,5.147309,5.216572,5.240573,4.836299,4.616571,4.884500,5.598915,4.798817,4.687201,4.558098,5.319405,4.574098,4.896011,5.105744,5.472394,,-0.875218,2.327154,3.436611,-0.165591,-1.955637,-3.798138,-2.812915,2.757322,-1.327051,-2.772118,-4.155335,0.064682,-2.291649,-0.172616,-0.869103,3.032165,0.023173,1.457064,0.229653,4.867549,,4.125446
32,223.495061,837.587866,1.001902,,4.715791,5.400705,4.659817,4.808833,4.796601,5.035713,5.086898,5.083753,4.732994,4.529996,4.798848,5.462892,4.733491,4.650664,4.548533,5.187008,4.542670,4.905712,5.000575,5.322841,,-0.875218,2.327154,3.436611,-0.165591,-1.955637,-3.798138,-2.812915,2.757322,-1.327051,-2.772118,-4.155335,0.064682,-2.291649,-0.172616,-0.869103,3.032165,0.023173,1.457064,0.229653,4.867549,,4.242989
