min,-5.120000,max,5.120000,populationsize,500,children,80
gen,best,worst,alpha,,var_x[0],var_x[1],var_x[2],var_x[3],var_x[4],var_x[5],var_x[6],var_x[7],var_x[8],var_x[9],var_x[10],var_x[11],var_x[12],var_x[13],var_x[14],var_x[15],var_x[16],var_x[17],var_x[18],var_x[19],,best_x[0],best_x[1],best_x[2],best_x[3],best_x[4],best_x[5],best_x[6],best_x[7],best_x[8],best_x[9],best_x[10],best_x[11],best_x[12],best_x[13],best_x[14],best_x[15],best_x[16],best_x[17],best_x[18],best_x[19],,distance
31,156.001903,630.939178,1.000000,,4.763970,4.939469,4.438153,5.255819,4.911029,5.220924,5.062479,4.791094,4.559224,4.518960,5.551150,5.045127,4.905285,4.476628,4.306744,4.910092,4.607855,5.235336,4.799913,4.453766,,-2.943246,-0.974312,2.141655,0.927974,-2.927925,2.850961,-3.458871,2.048362,-0.727878,0.825115,0.600360,-3.014945,0.584976,-0.817329,1.343995,-0.005370,-0.907564,3.003488,-1.716545,-1.832901,,3.121695
32,156.001903,630.939178,1.000876,,4.634150,4.885590,4.342950,5.166729,4.789885,5.135899,4.912884,4.736001,4.599292,4.361490,5.468285,4.989905,4.808820,4.441006,4.170168,4.885674,4.492508,5.063228,4.695052,4.253762,,-2.943246,-0.974312,2.141655,0.927974,-2.927925,2.850961,-3.458871,2.048362,-0.727878,0.825115,0.600360,-3.014945,0.584976,-0.817329,1.343995,-0.005370,-0.907564,3.003488,-1.716545,-1.832901,,3.223046
33,156.001903,630.939178,1.000003,,4.595663,4.786803,4.240557,5.096253,4.815195,5.108902,4.852603,4.765170,4.553130,4.295746,5.353351,4.878781,4.696144,4.352328,4.043276,4.844648,4.350295,5.048319,4.652366,4.135982,,-2.943246,-0.974312,2.141655,0.927974,-2.927925,2.850961,-3.458871,2.048362,-0.727878,0.825115,0.600360,-3.014945,0.584976,-0.817329,1.343995,-0.005370,-0.907564,3.003488,-1.716545,-1.832901,,3.276665
34,156.001903,630.939178,1.003034,,4.503799,4.710451,4.224951,5.024362,4.763297,5.046007,4.784039,4.659630,4.485899,4.200254,5.332057,4.709523,4.650587,4.307501,3.984398,4.833199,4.151111,4.928429,4.599145,4.010264,,-2.943246,-0.974312,2.141655,0.927974,-2.927925,2.850961,-3.458871,2.048362,-0.727878,0.825115,0.600360,-3.014945,0.584976,-0.817329,1.343995,-0.005370,-0.907564,3.003488,-1.716545,-1.832901,,3.350006
35,156.001903,630.939178,1.001799,,4.481465,4.659368,4.171834,4.954935,4.647828,4.989988,4.667393,4.558234,4.399931,4.110741,5.257030,4.720351,4.634118,4.180248,3.959585,4.736204,4.032378,4.820042,4.552300,3.898685,,-2.943246,-0.974312,2.141655,0.927974,-2.927925,2.850961,-3.458871,2.048362,-0.727878,0.825115,0.600360,-3.014945,0.584976,-0.817329,1.343995,-0.005370,-0.907564,3.003488,-1.716545,-1.832901,,3.385913
36,192.211726,630.939178,1.000494,,4.445746,4.605952,4.109237,4.908919,4.489167,4.881671,4.554786,4.394541,4.389963,4.080995,5.155581,4.736401,4.483684,4.129295,3.786796,4.626887,3.879210,4.763681,4.537366,3.892745,,0.198861,-0.960627,-2.107634,-1.064970,-3.787290,1.680192,-4.325652,2.204162,3.012468,0.993641,0.985845,-2.337366,-1.379346,0.036031,2.870537,1.423847,-2.574662,0.851272,0.083801,-0.803111,,3.443136
37,156.736705,630.939178,1.001523,,4.351846,4.572194,4.027714,4.821754,4.289051,4.818697,4.534517,4.353485,4.303715,4.039955,5.086508,4.663752,4.341332,4.041053,3.750026,4.498730,3.833684,4.594245,4.529182,3.822322,,-1.154086,-1.113756,-0.688862,-1.315072,-1.451189,2.086143,-1.368184,0.043774,1.917189,-0.984319,0.027073,-0.161437,0.776126,-0.823080,-0.024819,3.057265,-1.959599,1.907666,-1.169221,-2.601612,,3.497876
38,192.211726,630.939178,1.001635,,4.335693,4.569441,3.938788,4.842391,4.294310,4.674422,4.406502,4.345217,4.246794,3.939182,5.041364,4.608282,4.308768,3.990641,3.738469,4.449716,3.777369,4.549074,4.421708,3.750448,,0.198861,-0.960627,-2.107634,-1.064970,-3.787290,1.680192,-4.325652,2.204162,3.012468,0.993641,0.985845,-2.337366,-1.379346,0.036031,2.870537,1.423847,-2.574662,0.851272,0.083801,-0.803111,,3.514631
39,180.677110,630.939178,1.003102,,4.327454,4.580876,3.855414,4.785806,4.201377,4.650316,4.361313,4.283978,4.179121,3.886631,5.073815,4.571659,4.301534,4.000468,3.668599,4.459728,3.785239,4.528464,4.355900,3.657175,,1.937775,-0.841767,-0.936692,0.120088,-3.719656,0.700175,-4.153836,1.380904,1.035457,-1.507736,2.360319,-3.382477,0.884113,-1.047131,-0.923825,2.936463,-0.202774,3.036455,-1.865189,-0.810663,,3.611167
40,180.677110,630.939178,1.000938,,4.234340,4.578284,3.788146,4.748229,4.126536,4.574763,4.312383,4.250729,4.079162,3.834323,4.962058,4.468075,4.296491,3.939870,3.596324,4.421320,3.669861,4.502570,4.208609,3.609816,,1.937775,-0.841767,-0.936692,0.120088,-3.719656,0.700175,-4.153836,1.380904,1.035457,-1.507736,2.360319,-3.382477,0.884113,-1.047131,-0.923825,2.936463,-0.202774,3.036455,-1.865189,-0.810663,,3.681035
