min,-5.120000,max,5.120000,populationsize,500,children,80
gen,best,worst,alpha,,var_x[0],var_x[1],var_x[2],var_x[3],var_x[4],var_x[5],var_x[6],var_x[7],var_x[8],var_x[9],var_x[10],var_x[11],var_x[12],var_x[13],var_x[14],var_x[15],var_x[16],var_x[17],var_x[18],var_x[19],,best_x[0],best_x[1],best_x[2],best_x[3],best_x[4],best_x[5],best_x[6],best_x[7],best_x[8],best_x[9],best_x[10],best_x[11],best_x[12],best_x[13],best_x[14],best_x[15],best_x[16],best_x[17],best_x[18],best_x[19],,distance
23,244.733229,1368.982648,1.005463,,6.296103,5.919468,6.450917,6.266753,5.883526,5.689676,5.691276,6.264466,6.156633,5.529603,6.456871,6.341859,6.285881,5.808847,5.594561,5.760568,6.460488,6.216577,5.478791,5.868256,,-0.661765,4.759695,-0.593589,-0.104689,-1.861630,-5.071104,-2.021580,0.649255,-3.143562,-2.866263,-3.320256,-1.915017,-0.912099,-0.177367,0.216433,-1.870594,-0.978107,3.192092,-0.672346,-1.051735,,2.788262
24,263.008665,1368.982648,1.004506,,6.115769,5.820361,6.399146,6.099605,5.795917,5.558944,5.624831,6.229891,6.146686,5.288690,6.374297,6.108066,6.214311,5.769597,5.445879,5.678312,6.340389,6.177763,5.418501,5.832144,,-1.951022,-1.135261,-1.737081,3.724045,-2.753237,-0.785130,-0.231073,3.804341,-0.303997,-2.957778,-4.032539,0.160004,0.779935,-3.287248,0.033242,-0.069475,-2.103969,1.890480,-0.808918,1.908583,,2.898978
25,256.770761,1368.982648,1.005738,,6.096270,5.647037,6.289802,6.110482,5.816967,5.468828,5.471519,6.138938,6.064297,5.176677,6.172514,6.015990,6.110603,5.580472,5.300660,5.590275,6.198243,6.034408,5.234227,5.729896,,-1.779705,1.122710,1.337874,4.192476,-4.758636,-3.143659,-1.943364,2.377600,-3.809084,-1.820739,-2.583846,-2.345277,-4.775805,-1.117772,1.285444,0.276204,-2.037627,-0.083536,-0.173698,1.419261,,3.032011
26,262.299622,1368.982648,1.004831,,6.050605,5.548107,6.229088,5.991681,5.698547,5.202905,5.404985,6.108032,6.017476,5.097052,5.931002,5.898894,5.943632,5.518109,5.110949,5.512105,5.995575,5.870195,5.082192,5.614470,,-2.416322,0.998299,0.915988,2.019178,-1.222416,-3.188379,1.245426,1.906968,-3.637714,-1.797255,-2.272312,-2.510421,-3.911423,-3.153929,-0.340910,1.184996,-2.362852,2.929246,0.410885,-0.121453,,3.128029
27,237.060312,1368.982648,1.005795,,6.002671,5.442181,6.141337,5.842188,5.656614,5.111874,5.397815,6.075739,5.840722,5.119386,5.879349,5.810778,5.652814,5.488676,5.030135,5.425243,5.853700,5.771175,5.036981,5.521036,,-3.029751,0.957579,0.724299,-0.147249,-1.060302,-4.720247,1.616865,1.583063,-0.742366,-1.039968,-1.995804,-3.895038,-0.952055,-3.983376,0.036373,-2.094752,-2.093545,0.571136,-0.672299,-0.981189,,3.259342
28,237.060312,1368.982648,1.004991,,5.961637,5.375788,6.065757,5.750394,5.390630,5.034428,5.270139,5.963593,5.785609,4.955070,5.801385,5.694135,5.587686,5.332191,4.910535,5.330616,5.768882,5.795883,4.949194,5.545132,,-3.029751,0.957579,0.724299,-0.147249,-1.060302,-4.720247,1.616865,1.583063,-0.742366,-1.039968,-1.995804,-3.895038,-0.952055,-3.983376,0.036373,-2.094752,-2.093545,0.571136,-0.672299,-0.981189,,3.353093
29,237.060312,1368.982648,1.005921,,5.807677,5.247626,5.996199,5.743891,5.350082,4.973892,5.182072,6.010914,5.725313,4.888647,5.758048,5.729977,5.493563,5.300431,4.857659,5.223491,5.628613,5.634189,4.878327,5.534872,,-3.029751,0.957579,0.724299,-0.147249,-1.060302,-4.720247,1.616865,1.583063,-0.742366,-1.039968,-1.995804,-3.895038,-0.952055,-3.983376,0.036373,-2.094752,-2.093545,0.571136,-0.672299,-0.981189,,3.434478
30,219.032377,1368.982648,1.007130,,5.827405,5.227399,5.868798,5.657418,5.378288,4.960379,5.154996,6.008476,5.626260,4.813269,5.688639,5.705695,5.401707,5.210650,4.795569,5.150599,5.565301,5.576240,4.855721,5.424326,,-2.609278,2.961456,-0.350764,-1.049039,-0.788037,-2.969492,-0.086245,0.535634,-1.041310,-0.759331,-3.830028,-2.109087,-2.750817,-2.014879,0.613279,0.130715,-0.787894,-0.599454,-2.056906,1.878527,,3.528263
31,212.339752,1368.982648,1.005130,,5.652219,5.156371,5.792628,5.568254,5.295487,4.850982,5.143001,5.895192,5.535613,4.755569,5.494166,5.642691,5.270290,5.177674,4.730428,5.073920,5.447784,5.515380,4.862792,5.372499,,-1.215613,3.465596,-0.302314,-0.813812,-2.922589,-2.480887,-1.586798,3.394161,-2.696107,-3.283851,-3.132359,-3.193818,-1.230273,-0.191407,0.027545,-0.361120,-0.009536,1.961846,-1.019742,3.231122,,3.636609
32,212.339752,1368.982648,1.003323,,5.535660,5.091057,5.648662,5.478856,5.258632,4.716228,5.081828,5.861294,5.468965,4.719291,5.354371,5.537802,5.133412,5.198339,4.661221,5.055826,5.435987,5.548296,4.744343,5.341324,,-1.215613,3.465596,-0.302314,-0.813812,-2.922589,-2.480887,-1.586798,3.394161,-2.696107,-3.283851,-3.132359,-3.193818,-1.230273,-0.191407,0.027545,-0.361120,-0.009536,1.961846,-1.019742,3.231122,,3.675857
