min,-5.120000,max,5.120000,populationsize,500,children,80
gen,best,worst,alpha,,var_x[0],var_x[1],var_x[2],var_x[3],var_x[4],var_x[5],var_x[6],var_x[7],var_x[8],var_x[9],var_x[10],var_x[11],var_x[12],var_x[13],var_x[14],var_x[15],var_x[16],var_x[17],var_x[18],var_x[19],,best_x[0],best_x[1],best_x[2],best_x[3],best_x[4],best_x[5],best_x[6],best_x[7],best_x[8],best_x[9],best_x[10],best_x[11],best_x[12],best_x[13],best_x[14],best_x[15],best_x[16],best_x[17],best_x[18],best_x[19],,distance
34,208.675684,828.361629,1.000616,,4.787764,4.800862,4.918870,4.950501,4.996019,4.519585,4.439622,5.254306,4.901968,4.812312,5.058978,4.981415,4.933829,5.372326,5.070991,5.541618,4.558257,4.891293,4.796382,4.965465,,-0.924250,1.322765,1.003702,0.811165,-3.499331,-0.803666,-2.916154,2.953482,-1.004615,-1.764487,-1.917628,1.026086,-1.013666,-1.596585,-2.075132,-0.752193,1.014783,2.351346,-1.061971,1.061031,,4.463545
35,208.675684,828.361629,1.000000,,4.718836,4.716586,4.897036,4.989464,4.967895,4.428754,4.380285,5.229074,4.968281,4.790266,4.992479,4.948248,4.783183,5.297877,4.985475,5.429744,4.436717,4.814039,4.780781,4.915087,,-0.924250,1.322765,1.003702,0.811165,-3.499331,-0.803666,-2.916154,2.953482,-1.004615,-1.764487,-1.917628,1.026086,-1.013666,-1.596585,-2.075132,-0.752193,1.014783,2.351346,-1.061971,1.061031,,4.533523
36,228.496515,828.361629,1.000000,,4.588392,4.569713,4.806565,4.835623,4.888495,4.341276,4.206499,5.174757,4.876526,4.711076,4.819636,4.876061,4.608652,5.221645,4.793130,5.284588,4.382973,4.686729,4.640393,4.849536,,3.108966,2.932656,-1.236182,4.302361,-2.989499,-1.520830,-3.286295,3.158767,-3.772810,-1.944967,-3.330247,2.161196,-0.747291,-0.862726,-1.523453,2.145302,-2.827699,2.473701,-0.965942,3.990932,,4.647916
37,228.496515,828.361629,1.000000,,4.434141,4.438737,4.697124,4.658169,4.765172,4.239110,4.078709,5.016658,4.775293,4.614690,4.752010,4.859098,4.468326,5.145216,4.767767,5.171884,4.331156,4.576436,4.586786,4.748988,,3.108966,2.932656,-1.236182,4.302361,-2.989499,-1.520830,-3.286295,3.158767,-3.772810,-1.944967,-3.330247,2.161196,-0.747291,-0.862726,-1.523453,2.145302,-2.827699,2.473701,-0.965942,3.990932,,4.741089
38,224.126135,828.361629,1.000000,,4.380489,4.405766,4.636779,4.641735,4.749792,4.230081,4.021970,5.025181,4.685356,4.547006,4.759787,4.775991,4.423283,5.066049,4.726873,5.096304,4.282686,4.527577,4.510504,4.678371,,-0.374209,3.917510,2.050085,2.605014,-1.717854,-2.104856,-0.179859,3.854656,-1.918307,-1.083525,-3.056982,-1.401844,-0.520487,1.119544,-0.730368,2.512897,0.154191,1.711433,0.004166,0.887937,,4.795638
39,194.673238,828.361629,1.001103,,4.415774,4.338273,4.566235,4.606625,4.664312,4.180156,3.920345,4.949005,4.619364,4.519869,4.684079,4.703743,4.347196,5.035518,4.619479,5.015265,4.165902,4.473630,4.462681,4.609343,,-3.809503,4.894435,0.705966,3.777141,-1.606052,-4.895712,-1.897314,3.109963,-1.671668,-2.060678,-2.506977,-1.003474,-3.101459,2.456830,-0.158988,0.799504,-1.996388,4.154065,2.113172,1.878124,,4.899217
40,194.673238,828.361629,1.000724,,4.394989,4.254530,4.471057,4.537300,4.528966,4.102770,3.762842,4.727064,4.384444,4.389838,4.631168,4.595974,4.244931,4.954981,4.531112,4.921811,4.082694,4.478175,4.393616,4.540220,,-3.809503,4.894435,0.705966,3.777141,-1.606052,-4.895712,-1.897314,3.109963,-1.671668,-2.060678,-2.506977,-1.003474,-3.101459,2.456830,-0.158988,0.799504,-1.996388,4.154065,2.113172,1.878124,,4.978251
41,194.673238,828.361629,1.001278,,4.452028,4.162616,4.366359,4.412762,4.498473,4.066895,3.612173,4.736011,4.270646,4.353066,4.610445,4.508023,4.091454,4.827429,4.523297,4.842019,4.025486,4.448635,4.375488,4.515667,,-3.809503,4.894435,0.705966,3.777141,-1.606052,-4.895712,-1.897314,3.109963,-1.671668,-2.060678,-2.506977,-1.003474,-3.101459,2.456830,-0.158988,0.799504,-1.996388,4.154065,2.113172,1.878124,,5.094445
42,221.448406,828.361629,1.000000,,4.331368,4.135179,4.312976,4.396182,4.472782,3.980210,3.599145,4.695082,4.238684,4.298847,4.559766,4.447894,4.034661,4.765734,4.496207,4.819289,3.896391,4.339059,4.385069,4.399418,,-0.757954,3.513272,2.000873,1.821228,-0.806745,-2.929560,0.143350,3.424761,-2.871012,-1.827315,-2.979194,-2.916752,-0.995078,-0.667684,-3.078683,3.735214,-0.865930,3.635646,-0.731531,0.450386,,5.160730
43,221.978385,828.361629,1.000000,,4.264321,4.106488,4.337138,4.361373,4.444011,3.934703,3.532183,4.670804,4.106021,4.280059,4.443825,4.458624,4.000990,4.685402,4.511240,4.813025,3.867843,4.298525,4.310914,4.340234,,-0.874503,2.008587,-0.222688,1.862722,-1.248902,-1.125419,0.782549,-0.149519,-1.093518,-2.128609,-1.963857,-2.048811,-0.178708,1.538726,-2.950783,-1.178390,-0.839900,2.077963,-1.166733,1.971671,,5.260563
