dimension,200,seed,1
,mode,2
times,cosR,error
32.700000,0.613767,0.291400
32.800000,0.615154,0.290400
32.900000,0.616684,0.290000
33.000000,0.618430,0.289200
33.100000,0.620532,0.288500
33.200000,0.621562,0.288300
33.300000,0.623649,0.287700
33.400000,0.625092,0.287000
33.500000,0.626295,0.286500
33.600000,0.627420,0.285800
33.700000,0.628675,0.285100
33.800000,0.630090,0.284400
33.900000,0.631777,0.284000
34.000000,0.633175,0.284300
34.100000,0.634539,0.283100
34.200000,0.636274,0.282300
34.300000,0.637946,0.281400
34.400000,0.640002,0.280700
34.500000,0.641320,0.280100
34.600000,0.642648,0.279500
34.700000,0.644855,0.278800
34.800000,0.646232,0.278800
34.900000,0.647768,0.278300
35.000000,0.649418,0.277300
35.100000,0.650547,0.276800
35.200000,0.651963,0.275300
35.300000,0.653739,0.274400
35.400000,0.655524,0.274000
35.500000,0.656685,0.272700
35.600000,0.657699,0.272600
35.700000,0.659015,0.271600
35.800000,0.660099,0.270900
35.900000,0.661574,0.269700
36.000000,0.662634,0.269500
36.100000,0.664086,0.269200
36.200000,0.666422,0.268400
36.300000,0.667715,0.268200
36.400000,0.669247,0.266900
36.500000,0.670545,0.266700
36.600000,0.671714,0.266100
36.700000,0.673333,0.265400
36.800000,0.674927,0.265000
36.900000,0.676113,0.263900
37.000000,0.677133,0.263500
37.100000,0.678543,0.262400
37.200000,0.679825,0.261900
37.300000,0.681116,0.261300
37.400000,0.682682,0.261000
37.500000,0.683815,0.260900
37.600000,0.684917,0.260700
37.700000,0.686163,0.260100
37.800000,0.687643,0.259600
37.900000,0.689259,0.259200
38.000000,0.690671,0.258400
38.100000,0.691665,0.257900
38.200000,0.693092,0.257500
38.300000,0.694410,0.256400
38.400000,0.695428,0.256100
38.500000,0.696663,0.255400
38.600000,0.697900,0.255000
38.700000,0.699130,0.254100
38.800000,0.700362,0.253700
38.900000,0.702040,0.253200
39.000000,0.703353,0.252500
39.100000,0.704488,0.251900
39.200000,0.705535,0.251500
39.300000,0.706621,0.250900
39.400000,0.708330,0.250100
39.500000,0.709626,0.249800
39.600000,0.710935,0.249600
39.700000,0.711984,0.248800
39.800000,0.713367,0.248000
39.900000,0.714428,0.247700
40.000000,0.715267,0.247500
40.100000,0.716857,0.246800
40.200000,0.717733,0.246200
40.300000,0.718990,0.245400
40.400000,0.720071,0.244900
40.500000,0.720808,0.244600
40.600000,0.722263,0.243600
40.700000,0.723303,0.242900
40.800000,0.724215,0.242000
40.900000,0.725167,0.241700
41.000000,0.726589,0.241200
41.100000,0.727340,0.240800
41.200000,0.728701,0.239800
41.300000,0.729651,0.239600
41.400000,0.730430,0.239100
41.500000,0.731910,0.238300
